"Month","Year","date","Region","OpeningRate"
9,2019,2019-09-01,"United States",4.49494917628353
9,2019,2019-09-01,"Vermont",4.82218203737191
10,2019,2019-10-01,"United States",4.59152498598416
10,2019,2019-10-01,"Vermont",4.82654600301659
11,2019,2019-11-01,"United States",4.34420646333157
11,2019,2019-11-01,"Vermont",4.82072913528171
12,2019,2019-12-01,"United States",4.22665842240085
12,2019,2019-12-01,"Vermont",4.53172205438066
1,2020,2020-01-01,"United States",4.47613961232761
1,2020,2020-01-01,"Vermont",5.09745127436282
2,2020,2020-02-01,"United States",4.37403458538975
2,2020,2020-02-01,"Vermont",4.82509047044632
3,2020,2020-03-01,"United States",3.75919229027547
3,2020,2020-03-01,"Vermont",3.99262899262899
4,2020,2020-04-01,"United States",3.41109383100052
4,2020,2020-04-01,"Vermont",4.96372661321115
5,2020,2020-05-01,"United States",4.04754349017685
5,2020,2020-05-01,"Vermont",4.71527022125499
6,2020,2020-06-01,"United States",4.26216968011127
6,2020,2020-06-01,"Vermont",4.54069158225637
7,2020,2020-07-01,"United States",4.4791988201804
7,2020,2020-07-01,"Vermont",2.80014000700035
8,2020,2020-08-01,"United States",4.36610344452896
8,2020,2020-08-01,"Vermont",4.7074646940148
9,2020,2020-09-01,"United States",4.39098738206513
9,2020,2020-09-01,"Vermont",5.24590163934426
10,2020,2020-10-01,"United States",4.55449922617732
10,2020,2020-10-01,"Vermont",4.91642084562439
11,2020,2020-11-01,"United States",4.56031721620049
11,2020,2020-11-01,"Vermont",3.98671096345515
12,2020,2020-12-01,"United States",4.53586568533562
12,2020,2020-12-01,"Vermont",4.67601870407482
1,2021,2021-01-01,"United States",4.79892350633173
1,2021,2021-01-01,"Vermont",4.97512437810945
2,2021,2021-02-01,"United States",5.1278659028669
2,2021,2021-02-01,"Vermont",5.27009222661397
3,2021,2021-03-01,"United States",5.54624269886587
3,2021,2021-03-01,"Vermont",6.16883116883117
4,2021,2021-04-01,"United States",6.07662680964103
4,2021,2021-04-01,"Vermont",7.55429650613787
5,2021,2021-05-01,"United States",6.39292099369421
5,2021,2021-05-01,"Vermont",7.82227784730914
6,2021,2021-06-01,"United States",6.59595454953051
6,2021,2021-06-01,"Vermont",7.23270440251572
7,2021,2021-07-01,"United States",7.00154618270303
7,2021,2021-07-01,"Vermont",7.74473358116481
8,2021,2021-08-01,"United States",6.92532332081769
8,2021,2021-08-01,"Vermont",7.16957605985037
9,2021,2021-09-01,"United States",6.85978397260879
9,2021,2021-09-01,"Vermont",6.89871433051113
10,2021,2021-10-01,"United States",7.0921143143018
10,2021,2021-10-01,"Vermont",7.70653514180025
11,2021,2021-11-01,"United States",6.93528769686574
11,2021,2021-11-01,"Vermont",7.13399503722084
12,2021,2021-12-01,"United States",7.08259407684959
12,2021,2021-12-01,"Vermont",7.98035604665439
1,2022,2022-01-01,"United States",6.96956165810821
1,2022,2022-01-01,"Vermont",8.53138330286411
2,2022,2022-02-01,"United States",7.17441059211498
2,2022,2022-02-01,"Vermont",7.66636001226618
3,2022,2022-03-01,"United States",7.42231465622706
3,2022,2022-03-01,"Vermont",7.63825236785823
4,2022,2022-04-01,"United States",7.2652447227454
4,2022,2022-04-01,"Vermont",7.85735871864612
5,2022,2022-05-01,"United States",7.02861514919663
5,2022,2022-05-01,"Vermont",7.88834951456311
6,2022,2022-06-01,"United States",6.87981712497479
6,2022,2022-06-01,"Vermont",7.31707317073171
7,2022,2022-07-01,"United States",7.05093556987471
7,2022,2022-07-01,"Vermont",6.69099756690998
8,2022,2022-08-01,"United States",6.20923430865059
8,2022,2022-08-01,"Vermont",5.85335797905114
9,2022,2022-09-01,"United States",6.57964399817435
9,2022,2022-09-01,"Vermont",6.71960904092853
10,2022,2022-10-01,"United States",6.37952323890974
10,2022,2022-10-01,"Vermont",6.99300699300699
11,2022,2022-11-01,"United States",6.44243428037542
11,2022,2022-11-01,"Vermont",6.96125907990315
12,2022,2022-12-01,"United States",6.58305692080478
12,2022,2022-12-01,"Vermont",6.43185298621746
1,2023,2023-01-01,"United States",6.29219061226714
1,2023,2023-01-01,"Vermont",6.07348921955664
2,2023,2023-02-01,"United States",5.96973298086484
2,2023,2023-02-01,"Vermont",6.08087564609304
3,2023,2023-03-01,"United States",5.81026204451782
3,2023,2023-03-01,"Vermont",6.07348921955664
4,2023,2023-04-01,"United States",6.04187956149209
4,2023,2023-04-01,"Vermont",5.77507598784195
5,2023,2023-05-01,"United States",5.64502437486357
5,2023,2023-05-01,"Vermont",5.20992951271836
6,2023,2023-06-01,"United States",5.56821073293671
6,2023,2023-06-01,"Vermont",5.74191598670293
7,2023,2023-07-01,"United States",5.22763857251329
7,2023,2023-07-01,"Vermont",5.19718740446347
8,2023,2023-08-01,"United States",5.61273517342246
8,2023,2023-08-01,"Vermont",5.49618320610687
9,2023,2023-09-01,"United States",5.60282103458062
9,2023,2023-09-01,"Vermont",5.75932100636557
10,2023,2023-10-01,"United States",5.17962076694736
10,2023,2023-10-01,"Vermont",5.47778454047474
11,2023,2023-11-01,"United States",5.24001354915197
11,2023,2023-11-01,"Vermont",5.18450747179018
12,2023,2023-12-01,"United States",5.18684107180618
12,2023,2023-12-01,"Vermont",4.89596083231334
1,2024,2024-01-01,"United States",5.11609079429908
1,2024,2024-01-01,"Vermont",5.17031630170316
2,2024,2024-02-01,"United States",5.09606797171064
2,2024,2024-02-01,"Vermont",5.17661388550548
3,2024,2024-03-01,"United States",4.88678219914256
3,2024,2024-03-01,"Vermont",5.17188926072406
4,2024,2024-04-01,"United States",4.61047841504593
4,2024,2024-04-01,"Vermont",4.89296636085627
5,2024,2024-05-01,"United States",4.76742151343458
5,2024,2024-05-01,"Vermont",5.17661388550548
6,2024,2024-06-01,"United States",4.48323625300163
6,2024,2024-06-01,"Vermont",5.46448087431694
7,2024,2024-07-01,"United States",4.53394720464995
7,2024,2024-07-01,"Vermont",4.87953644403782
8,2024,2024-08-01,"United States",4.61553314868787
8,2024,2024-08-01,"Vermont",4.86174415071407
9,2024,2024-09-01,"United States",4.29399638489393
9,2024,2024-09-01,"Vermont",5.1656031601337
10,2024,2024-10-01,"United States",4.58809565411242
10,2024,2024-10-01,"Vermont",4.58996328029376
11,2024,2024-11-01,"United States",4.81908190819082
11,2024,2024-11-01,"Vermont",4.59136822773186
12,2024,2024-12-01,"United States",4.51066386302193
12,2024,2024-12-01,"Vermont",4.88997555012225
1,2025,2025-01-01,"United States",4.65305877768786
1,2025,2025-01-01,"Vermont",6.29307761462391
2,2025,2025-02-01,"United States",4.53885736904605
2,2025,2025-02-01,"Vermont",5.14839491217444
3,2025,2025-03-01,"United States",NA
3,2025,2025-03-01,"Vermont",NA
4,2025,2025-04-01,"United States",NA
4,2025,2025-04-01,"Vermont",NA
5,2025,2025-05-01,"United States",NA
5,2025,2025-05-01,"Vermont",NA
6,2025,2025-06-01,"United States",NA
6,2025,2025-06-01,"Vermont",NA
7,2025,2025-07-01,"United States",NA
7,2025,2025-07-01,"Vermont",NA
8,2025,2025-08-01,"United States",NA
8,2025,2025-08-01,"Vermont",NA
9,2025,2025-09-01,"United States",NA
9,2025,2025-09-01,"Vermont",NA
10,2025,2025-10-01,"United States",NA
10,2025,2025-10-01,"Vermont",NA
11,2025,2025-11-01,"United States",NA
11,2025,2025-11-01,"Vermont",NA
12,2025,2025-12-01,"United States",NA
12,2025,2025-12-01,"Vermont",NA
